Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
 firefox.exe		77,428 K	59,660 K	14920	Firefox	Mozilla Corporation
 firefox.exe		100,984 K	65,312 K	12188	Firefox	Mozilla Corporation
 firefox.exe		68,800 K	52,464 K	7540	Firefox	Mozilla Corporation
 firefox.exe	< 0.01	287,332 K	236,864 K	12836	Firefox	Mozilla Corporation
 firefox.exe	< 0.01	90,272 K	71,712 K	5276	Firefox	Mozilla Corporation
 firefox.exe	< 0.01	67,872 K	59,820 K	23104	Firefox	Mozilla Corporation
 firefox.exe		79,692 K	73,640 K	22132	Firefox	Mozilla Corporation
 firefox.exe	< 0.01	107,848 K	78,592 K	17508	Firefox	Mozilla Corporation
 firefox.exe		55,664 K	46,956 K	17352	Firefox	Mozilla Corporation
 firefox.exe		90,392 K	69,816 K	10104	Firefox	Mozilla Corporation
 firefox.exe	< 0.01	66,720 K	63,544 K	27156	Firefox	Mozilla Corporation
 firefox.exe	< 0.01	723,116 K	265,112 K	2608	Firefox	Mozilla Corporation
 firefox.exe		267,192 K	88,152 K	26652	Firefox	Mozilla Corporation
 firefox.exe		43,128 K	37,272 K	25408	Firefox	Mozilla Corporation
 firefox.exe		155,168 K	113,876 K	16800	Firefox	Mozilla Corporation
 firefox.exe		173,916 K	121,800 K	23432	Firefox	Mozilla Corporation
 firefox.exe	< 0.01	84,144 K	70,128 K	26012	Firefox	Mozilla Corporation
 firefox.exe		121,136 K	115,796 K	4084	Firefox	Mozilla Corporation
 firefox.exe		47,348 K	43,500 K	21636	Firefox	Mozilla Corporation
 firefox.exe		106,432 K	100,200 K	4108	Firefox	Mozilla Corporation
 firefox.exe		48,304 K	65,892 K	10476	Firefox	Mozilla Corporation
 firefox.exe	11.03	318,564 K	177,820 K	892	Firefox	Mozilla Corporation
 firefox.exe		25,664 K	27,620 K	22548	Firefox	Mozilla Corporation
 firefox.exe		25,916 K	27,788 K	22416	Firefox	Mozilla Corporation
 firefox.exe		25,792 K	27,620 K	22040	Firefox	Mozilla Corporation
Microsoft.SharePoint.exe		7,744 K	3,552 K	19400	Microsoft SharePoint	Microsoft Corporation
msedge.exe	< 0.01	42,300 K	116,012 K	19996	Microsoft Edge	Microsoft Corporation
 msedge.exe		2,012 K	7,660 K	16788	Microsoft Edge	Microsoft Corporation
 msedge.exe	< 0.01	28,028 K	40,844 K	21388	Microsoft Edge	Microsoft Corporation
 msedge.exe	< 0.01	12,068 K	36,192 K	17872	Microsoft Edge	Microsoft Corporation
 msedge.exe	< 0.01	7,820 K	19,768 K	13488	Microsoft Edge	Microsoft Corporation
 msedge.exe		76,340 K	127,352 K	27084	Microsoft Edge	Microsoft Corporation
 msedge.exe		19,448 K	35,404 K	17052	Microsoft Edge	Microsoft Corporation

